iter	Passed	Remaining
401	13702	3340
402	13759	3311
403	13794	3277
404	13823	3242
405	13851	3207
406	13881	3171
407	13912	3137
408	13951	3104
409	13996	3072
410	14027	3037
411	14057	3002
412	14084	2966
413	14111	2931
414	14145	2897
415	14179	2863
416	14206	2827
417	14233	2792
418	14262	2757
419	14288	2721
420	14314	2686
421	14340	2650
422	14367	2615
423	14398	2580
424	14426	2545
425	14453	2510
426	14479	2475
427	14510	2441
428	14540	2406
429	14568	2371
430	14595	2336
431	14623	2301
432	14660	2268
433	14695	2234
434	14738	2202
435	14777	2169
436	14805	2134
437	14830	2099
438	14858	2064
439	14896	2031
440	14927	1997
441	14956	1962
442	14986	1928
443	15017	1894
444	15044	1859
445	15071	1824
446	15097	1790
447	15124	1755
448	15152	1721
449	15179	1686
450	15205	1652
451	15231	1617
452	15259	1583
453	15287	1548
454	15312	1514
455	15339	1480
456	15366	1445
457	15394	1411
458	15421	1377
459	15449	1343
460	15475	1309
461	15500	1274
462	15529	1240
463	15560	1207
464	15586	1173
465	15617	1139
466	15643	1105
467	15670	1071
468	15696	1037
469	15721	1003
470	15746	969
471	15772	935
472	15799	901
473	15830	868
474	15857	834
475	15885	800
476	15912	767
477	15938	733
478	15965	699
479	15992	666
480	16027	633
481	16053	599
482	16093	566
483	16150	533
484	16188	500
485	16226	467
486	16255	433
487	16281	400
488	16308	366
489	16333	333
490	16364	299
491	16407	266
492	16453	233
493	16499	200
494	16528	166
495	16554	133
496	16580	100
497	16608	66
498	16634	33
499	16661	0
