iter	RMSE
424	0.1635446289
425	0.163523812
426	0.1634974709
427	0.1634781695
428	0.1634426959
429	0.163423812
430	0.163403283
431	0.1633818164
432	0.16336038
433	0.1633410817
434	0.1633131726
435	0.1632861383
436	0.1632698582
437	0.163250845
438	0.1632279552
439	0.1632035537
440	0.1631779685
441	0.1631569967
442	0.1631302727
443	0.163101967
444	0.1630788702
445	0.1630594322
446	0.1630328088
447	0.1630135738
448	0.1629924808
449	0.1629665578
450	0.1629369258
451	0.1629151079
452	0.1629026737
453	0.1628812471
454	0.1628468152
455	0.1628231648
456	0.1628052035
457	0.1627867753
458	0.1627751209
459	0.1627509099
460	0.1627293796
461	0.1627144053
462	0.1626856144
463	0.1626536492
464	0.1626201348
465	0.162599431
466	0.1625762595
467	0.1625611004
468	0.1625430229
469	0.1625191663
470	0.1624982947
471	0.162474646
472	0.1624586339
473	0.1624447945
474	0.1624152845
475	0.1624007616
476	0.1623848118
477	0.162364352
478	0.1623324132
479	0.1623128583
480	0.1622749237
481	0.1622517543
482	0.1622227102
483	0.1622023019
484	0.1621887091
485	0.1621714617
486	0.1621544775
487	0.1621385792
488	0.1621246009
489	0.1621071806
490	0.1620952093
491	0.1620757892
492	0.1620576543
493	0.1620367684
494	0.1620178688
495	0.1620011829
496	0.1619761177
497	0.1619540646
498	0.161935893
499	0.1619172536
